NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Jackson, MS Metro Area",797,5089,4033,6025,16795,67568,8190,28143,235066,5708460,239871,110584,554441,276619,445257,27140,,msa,27140,,2014
"Jackson, OH Micro Area",634,286,253,448,788,4115,796,1370,14574,328005,12396,7689,32515,14846,25988,27160,,msa,27160,,2014
"Jackson, TN Metro Area",731,1333,796,1290,5039,16156,1619,7932,55700,1046625,51984,24824,124960,61919,103371,27180,,msa,27180,,2014
"Jackson, WY-ID Micro Area",1040,608,293,356,630,4253,323,7099,18530,306910,17083,3017,32042,19931,25839,27220,,msa,27220,,2014
"Jacksonville, FL Metro Area",964,15067,12127,16989,45352,176791,13649,89486,606085,15012645,589423,203994,1353914,706454,1097446,27260,,msa,27260,,2014
"Jacksonville, IL Micro Area",604,435,390,293,839,4790,453,1876,17911,345450,17732,5356,37402,20629,33070,27300,,msa,27300,,2014
"Jacksonville, NC Metro Area",962,2829,1923,3425,5852,28315,1835,11423,72570,2003320,82916,24719,168693,98409,140005,27340,,msa,27340,,2014
"Jacksonville, TX Micro Area",670,260,390,407,1060,5040,877,3393,20920,481145,19279,11177,48161,21302,39090,27380,,msa,27380,,2014
"Jamestown, ND Micro Area",613,247,187,257,384,2991,333,941,9991,140810,10498,2201,19456,11471,17247,27420,,msa,27420,,2014
"Jamestown-Dunkirk-Fredonia, NY Micro Area",611,1051,870,1196,4414,16318,1479,12531,66757,976900,54210,24707,127461,63452,108722,27460,,msa,27460,,2014
"Janesville-Beloit, WI Metro Area",744,1468,1408,1615,4607,19173,1194,4976,68361,1629085,70547,23289,156639,83263,125740,27500,,msa,27500,,2014
"Jasper, IN Micro Area",613,540,181,354,546,4406,416,2216,23235,546925,26132,5106,53794,28755,43279,27540,,msa,27540,,2014
"Jayuya, PR Micro Area",413,74,108,48,229,1420,508,1404,6116,67845,3250,9149,16146,5194,12599,27580,,msa,27580,,2014
"Jefferson, GA Micro Area",782,250,201,352,1052,4699,803,2789,23716,739240,24227,9062,60311,28578,46874,27600,,msa,27600,,2014
"Jefferson City, MO Metro Area",606,1355,853,1047,2541,16025,1641,7371,63775,1320270,66383,18638,140497,73731,119725,27620,,msa,27620,,2014
"Jesup, GA Micro Area",633,169,154,176,773,3180,558,1920,12146,238810,10451,6198,27922,12328,23533,27700,,msa,27700,,2014
"Johnson City, TN Metro Area",644,1800,1480,1854,6510,26545,3911,10700,94699,1784440,82008,38348,193817,94272,164785,27740,,msa,27740,,2014
"Johnstown, PA Metro Area",561,1278,793,967,2760,15167,2245,7467,65426,1306600,56277,19846,132831,64676,116649,27780,,msa,27780,,2014
"Jonesboro, AR Metro Area",646,1596,965,1575,4824,19212,1921,5453,52848,959995,50901,26544,119944,59000,96873,27860,,msa,27860,,2014
"Joplin, MO Metro Area",669,2092,1605,1431,4398,21663,2170,7789,75222,1449160,76080,28850,171513,86924,135726,27900,,msa,27900,,2014
"Junction City, KS Micro Area",1002,508,700,501,1107,7080,569,2111,14893,276235,16514,4633,35609,18718,26119,27920,,msa,27920,,2014
"Juneau, AK Micro Area",1169,485,306,283,688,4389,182,1026,13107,243775,16437,2033,31591,18505,25814,27940,,msa,27940,,2014
"Kahului-Wailuku-Lahaina, HI Metro Area",1280,1799,1734,2011,5310,22735,2287,17829,71006,1522665,72185,17855,156738,87249,126727,27980,,msa,27980,,2014
"Aberdeen, SD Micro Area",587,253,424,289,930,5009,389,1678,19061,300675,21683,4095,40134,23343,33087,10100,,msa,10100,,2014
"Aberdeen, WA Micro Area",732,809,626,484,1748,8472,913,7890,35208,592640,24213,12862,68534,30760,58275,10140,,msa,10140,,2014
"Abilene, TX Metro Area",768,1654,1393,1792,4895,22139,2589,9831,70174,1190805,70389,27891,154005,78217,131984,10180,,msa,10180,,2014
"Ada, OK Micro Area",635,362,378,372,1101,4983,491,2024,16674,289945,16554,7030,36527,18593,29870,10220,,msa,10220,,2014
"Adjuntas, PR Micro Area",367,82,124,70,357,2648,1643,1336,7514,120420,4150,11802,19014,6400,15080,10260,,msa,10260,,2014
"Adrian, MI Micro Area",724,604,414,799,2265,8618,859,5580,43439,1086855,40845,13628,94088,47902,79736,10300,,msa,10300,,2014
"Aguadilla-Isabela, PR Metro Area",405,1252,1052,1599,5436,35694,19696,34415,144035,1918965,75235,175404,328410,106648,265643,10380,,msa,10380,,2014
"Akron, OH Metro Area",753,7167,5690,7344,23244,91621,6177,31241,312993,7351030,318829,103180,687626,373147,570055,10420,,msa,10420,,2014
"Alamogordo, NM Micro Area",775,559,561,709,1335,8432,1008,7075,30982,475935,23558,13761,62663,28127,50964,10460,,msa,10460,,2014
"Albany, GA Metro Area",710,2166,1554,1996,7346,25425,2845,8007,66257,1169270,57154,40600,151361,70882,121559,10500,,msa,10500,,2014
"Albany, OR Metro Area",808,1387,1051,1357,4318,15413,960,4046,48988,1012210,44389,22801,116976,54145,93268,10540,,msa,10540,,2014
"Albany-Schenectady-Troy, NY Metro Area",905,9507,6787,9199,29674,120978,6458,47706,395107,9288215,411931,97483,844293,471762,715572,10580,,msa,10580,,2014
"Albemarle, NC Micro Area",645,612,395,627,1446,6464,790,3694,27178,616295,24126,9695,58416,29295,48579,10620,,msa,10620,,2014
"Albert Lea, MN Micro Area",554,365,147,303,362,3142,263,1132,14209,264775,14311,3514,30561,16127,25015,10660,,msa,10660,,2014
"Albertville, AL Micro Area",593,632,556,831,1581,9756,1467,5805,40329,849435,35590,18479,93019,41962,73260,10700,,msa,10700,,2014
"Albuquerque, NM Metro Area",811,9200,7518,10635,28470,115075,9176,33307,377475,8867760,378097,165801,886767,442810,708072,10740,,msa,10740,,2014
"Alexandria, LA Metro Area",726,1329,1056,1480,4628,18433,2441,10498,65406,1403545,57231,29784,147182,65868,120548,10780,,msa,10780,,2014
"Alexandria, MN Micro Area",685,326,132,301,1007,3717,242,4626,20265,316595,17311,3564,35706,19480,29515,10820,,msa,10820,,2014
"Alice, TX Micro Area",727,185,197,129,729,3881,921,2711,16199,408600,16331,8354,40776,18180,30880,10860,,msa,10860,,2014
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",934,8390,6460,8794,23476,91866,5300,29571,343357,10129190,367785,89964,803274,431048,666063,10900,,msa,10900,,2014
"Alma, MI Micro Area",586,401,205,291,956,3764,463,1554,16259,326395,14777,6831,36272,18051,34418,10940,,msa,10940,,2014
"Alpena, MI Micro Area",550,247,104,282,617,2900,365,3129,15989,195370,11464,5013,28628,13731,24077,10980,,msa,10980,,2014
"Altoona, PA Metro Area",630,1307,764,1002,3036,14240,1174,5263,56211,1056205,55116,17592,123534,61754,103318,11020,,msa,11020,,2014
"Altus, OK Micro Area",685,371,196,385,617,4242,531,1699,12106,167840,11626,4045,25248,13016,19894,11060,,msa,11060,,2014
"Amarillo, TX Metro Area",749,3011,1820,3045,6889,33906,2842,9654,105230,2213390,116821,39951,247994,128997,196620,11100,,msa,11100,,2014
"Americus, GA Micro Area",611,293,337,307,1311,5395,796,2660,16201,280620,13187,10518,34771,16156,28486,11140,,msa,11140,,2014
"Ames, IA Metro Area",760,1111,998,1406,5408,16464,869,1684,37350,836305,46655,18222,83142,52707,77402,11180,,msa,11180,,2014
"Amsterdam, NY Micro Area",702,550,338,362,1675,6424,725,3504,23159,469700,20113,9366,49016,24218,39789,11220,,msa,11220,,2014
"Anchorage, AK Metro Area",1159,4878,3301,4081,9955,49632,2469,18811,155079,4145125,186707,33466,383259,216084,301210,11260,,msa,11260,,2014
"Andrews, TX Micro Area",869,49,47,109,99,1251,215,523,5935,160060,7297,1822,15918,7942,11887,11380,,msa,11380,,2014
"Angola, IN Micro Area",650,315,155,211,443,2995,300,6009,19418,345185,15302,3703,32736,17650,27741,11420,,msa,11420,,2014
"Ann Arbor, MI Metro Area",938,4113,3111,4879,14860,53729,3273,11635,148106,3708430,160499,50597,333221,189375,289108,11460,,msa,11460,,2014
"Anniston-Oxford-Jacksonville, AL Metro Area",634,997,538,1130,3672,14271,1899,7958,53306,1012930,44264,24794,114171,53813,93690,11500,,msa,11500,,2014
"Appleton, WI Metro Area",721,1317,1291,1854,4071,23308,1397,5242,93992,2276875,114798,18590,225117,126801,178385,11540,,msa,11540,,2014
"Arcadia, FL Micro Area",686,232,225,249,514,3053,439,3700,14664,293755,11874,9968,32678,13729,28202,11580,,msa,11580,,2014
"Ardmore, OK Micro Area",668,343,255,349,748,5252,728,3846,21321,359200,19619,7397,47480,22006,37186,11620,,msa,11620,,2014
"Arecibo, PR Metro Area",416,822,708,792,2870,19990,11016,14462,81685,1382690,49713,93889,194093,63421,157489,11640,,msa,11640,,2014
"Arkadelphia, AR Micro Area",604,318,64,153,847,3089,433,1926,10393,183840,8835,4735,19999,10613,18883,11660,,msa,11660,,2014
"Arkansas City-Winfield, KS Micro Area",625,485,304,263,794,4198,368,2212,15995,270095,14880,5994,34109,17149,28458,11680,,msa,11680,,2014
"Asheville, NC Metro Area",789,4801,3221,6054,12156,58042,6549,33796,215589,3817740,178638,68094,424334,211988,357619,11700,,msa,11700,,2014
"Ashland, OH Micro Area",681,397,248,305,1002,5695,585,1773,22112,513465,21958,7825,50886,26106,42317,11740,,msa,11740,,2014
"Ashtabula, OH Micro Area",631,868,640,1128,2813,10775,1217,7031,45964,995150,39267,18357,96528,45731,79811,11780,,msa,11780,,2014
"Astoria, OR Micro Area",825,452,531,517,1384,5876,472,5947,21693,295715,16139,5749,36452,19119,30821,11820,,msa,11820,,2014
"Atchison, KS Micro Area",622,82,126,69,283,1684,276,791,6971,139560,6853,2848,15584,8203,13126,11860,,msa,11860,,2014
"Athens, OH Micro Area",703,510,471,599,3855,9659,1120,4107,26315,493315,24424,17485,55293,30038,55961,11900,,msa,11900,,2014
"Athens, TN Micro Area",590,504,155,323,1248,5125,834,3114,23301,456600,20004,9472,51284,23318,42242,11940,,msa,11940,,2014
"Athens, TX Micro Area",739,715,408,695,1552,7313,1165,9957,39777,808045,28245,15311,77460,33060,63102,11980,,msa,11980,,2014
"Athens-Clarke County, GA Metro Area",791,2088,1593,2779,8784,30390,4642,13184,82159,1770765,81137,49021,185131,94357,160495,12020,,msa,12020,,2014
"Atlanta-Sandy Springs-Roswell, GA Metro Area",970,59364,45370,61923,174879,686759,42830,252315,2189138,70984370,2332059,840560,5362258,2839500,4198168,12060,,msa,12060,,2014
"Atlantic City-Hammonton, NJ Metro Area",1043,3131,2027,3371,10098,32687,1982,25938,127104,2877595,121607,40852,268775,146754,220859,12100,,msa,12100,,2014
"Auburn, IN Micro Area",648,266,230,228,639,3399,217,1339,17574,401575,18404,5544,41783,21084,32742,12140,,msa,12140,,2014
"Auburn, NY Micro Area",666,619,648,704,1569,8664,972,5534,36441,744710,34517,9360,75446,39965,65012,12180,,msa,12180,,2014
"Auburn-Opelika, AL Metro Area",777,1448,1389,1965,7202,22440,2150,7621,64258,1384640,64253,33625,142200,73978,119075,12220,,msa,12220,,2014
"Augusta-Richmond County, GA-SC Metro Area",767,5088,3481,6190,16484,67825,8256,36790,245526,5454345,232362,109837,560327,269846,451862,12260,,msa,12260,,2014
"Augusta-Waterville, ME Micro Area",704,1286,894,1084,3820,15248,1475,9978,61220,1234165,53668,15891,118014,62898,99847,12300,,msa,12300,,2014
"Austin, MN Micro Area",711,444,186,396,1148,4356,293,1488,16999,312735,17881,5758,38740,20391,30605,12380,,msa,12380,,2014
"Austin-Round Rock, TX Metro Area",1014,25369,18242,25125,69906,283489,12919,58065,731966,22086375,854313,268293,1796217,1003041,1426230,12420,,msa,12420,,2014
"Bainbridge, GA Micro Area",630,283,212,287,904,3841,918,1662,12135,223600,9786,7788,26278,11122,21428,12460,,msa,12460,,2014
"Bakersfield, CA Metro Area",887,8992,7754,9887,30520,110403,6916,30038,287775,7200710,303699,192972,824972,372092,630972,12540,,msa,12540,,2014
"Baltimore-Columbia-Towson, MD Metro Area",1141,30584,23084,29708,85692,346458,19626,108076,1140939,39173500,1292093,295371,2685026,1495950,2205546,12580,,msa,12580,,2014
"Bangor, ME Metro Area",730,1695,1367,1778,5536,20297,1662,11901,74116,1506570,68821,24818,146654,79257,127862,12620,,msa,12620,,2014
"Baraboo, WI Micro Area",737,750,506,645,1631,7919,635,4394,29794,666870,30978,7559,61727,34823,49774,12660,,msa,12660,,2014
"Bardstown, KY Micro Area",673,467,218,342,1180,4217,410,1667,18327,483260,18651,7572,43879,22188,34357,12680,,msa,12680,,2014
"Barnstable Town, MA Metro Area",1101,2195,1325,1928,5287,20126,2029,66582,160953,2260485,93672,20588,212184,110236,184461,12700,,msa,12700,,2014
"Barre, VT Micro Area",853,775,320,396,1603,6674,502,5352,30056,648065,28748,5868,57002,33402,48887,12740,,msa,12740,,2014
"Bartlesville, OK Micro Area",669,462,303,584,955,5644,556,2435,23544,373485,21695,7245,50652,24193,40692,12780,,msa,12780,,2014
"Bastrop, LA Micro Area",548,202,160,380,708,3665,924,2080,12463,237135,9425,7203,26402,10851,21341,12820,,msa,12820,,2014
"Batavia, NY Micro Area",722,684,339,351,1488,6454,580,1660,25627,611500,28586,7441,58908,32295,48735,12860,,msa,12860,,2014
"Batesville, AR Micro Area",590,300,323,256,1018,4321,744,1800,16205,290075,14901,8258,35649,16829,29022,12900,,msa,12900,,2014
"Baton Rouge, LA Metro Area",817,7242,5147,7071,25379,95127,10732,36948,336104,9509950,361540,138619,790953,411943,639548,12940,,msa,12940,,2014
"Battle Creek, MI Metro Area",685,1369,884,1353,3805,15934,1166,7990,60832,1086715,54073,22693,131761,64348,107262,12980,,msa,12980,,2014
"Blackfoot, ID Micro Area",617,190,210,304,694,3909,449,1327,16167,371105,17788,6277,45249,20604,32185,13940,,msa,13940,,2014
"Beatrice, NE Micro Area",631,175,122,135,454,2537,219,1294,10413,211725,10343,2449,21504,11449,17462,13100,,msa,13100,,2014
"Blacksburg-Christiansburg-Radford, VA Metro Area",773,1782,1259,2091,8026,25923,3249,10184,78784,1607860,77156,36025,166043,88255,153013,13980,,msa,13980,,2014
"Bay City, MI Metro Area",650,780,831,879,2404,9567,805,4388,48100,930650,43952,16473,105862,51255,86635,13020,,msa,13020,,2014
"Bay City, TX Micro Area",662,250,175,454,842,4171,495,5755,18898,330085,14789,7757,36077,16720,28400,13060,,msa,13060,,2014
"Beaumont-Port Arthur, TX Metro Area",749,3377,2487,3745,10928,46808,5873,22406,172119,3493625,160511,71077,386561,184055,318440,13140,,msa,13140,,2014
"Beaver Dam, WI Micro Area",759,763,516,752,1437,8740,701,4123,37102,888015,40649,7664,83247,46209,71882,13180,,msa,13180,,2014
"Beckley, WV Metro Area",621,687,427,714,2386,12283,2329,8809,57539,1056880,43007,22083,118752,48834,101461,13220,,msa,13220,,2014
"Bedford, IN Micro Area",621,395,170,291,752,3997,502,2431,20992,486215,19174,6311,45006,21695,36691,13260,,msa,13260,,2014
"Beeville, TX Micro Area",781,110,209,401,418,3180,436,1738,10671,225960,9738,5705,24524,10997,26488,13300,,msa,13300,,2014
"Bellefontaine, OH Micro Area",707,287,307,253,1116,4824,521,4681,23152,429535,18803,7606,44916,22335,35791,13340,,msa,13340,,2014
"Bellingham, WA Metro Area",919,2540,1818,2255,9334,29829,1633,11610,91447,1852720,89268,32401,199458,106538,167767,13380,,msa,13380,,2014
"Bemidji, MN Micro Area",661,452,275,492,1131,5035,427,3842,20635,374400,18601,8828,43111,22868,35131,13420,,msa,13420,,2014
"Bend-Redmond, OR Metro Area",931,2456,1399,2300,6307,22742,1173,16028,80945,1206320,64296,24318,161970,80593,131138,13460,,msa,13460,,2014
"Bennettsville, SC Micro Area",552,315,241,234,626,3187,781,2372,12017,214160,8895,8063,25096,10914,23088,13500,,msa,13500,,2014
"Bennington, VT Micro Area",872,527,281,519,1067,4616,316,5452,20929,301160,16027,5010,35248,19315,30456,13540,,msa,13540,,2014
"Berlin, NH-VT Micro Area",676,424,272,351,1021,4807,461,9161,26308,359460,16258,5110,36992,19252,32554,13620,,msa,13620,,2014
"Big Rapids, MI Micro Area",622,351,251,326,1189,4061,564,5556,21085,365070,15896,9370,40081,19918,35894,13660,,msa,13660,,2014
"Big Spring, TX Micro Area",726,206,180,305,505,3710,648,2047,13709,239295,13383,4770,31242,15001,29559,13700,,msa,13700,,2014
"Big Stone Gap, VA Micro Area",592,295,507,511,1615,6919,1625,3932,27304,471505,19807,12260,57072,23517,49639,13720,,msa,13720,,2014
"Billings, MT Metro Area",736,1810,1126,1715,4282,20408,1075,6022,72031,1562820,79106,19813,159028,87670,128928,13740,,msa,13740,,2014
"Binghamton, NY Metro Area",694,2257,1867,2989,8361,31249,2391,12709,112325,2121000,106050,38263,238526,122644,204958,13780,,msa,13780,,2014
"Birmingham-Hoover, AL Metro Area",797,10077,7944,10657,32061,132466,15015,67706,503430,12436990,476397,187575,1112433,550971,898111,13820,,msa,13820,,2014
"Bismarck, ND Metro Area",710,1008,570,879,2515,13986,772,3185,52653,1171815,62243,10643,116913,68818,95594,13900,,msa,13900,,2014
"Bloomington, IL Metro Area",757,1519,1080,1585,5698,23050,1738,6843,78004,1694405,93454,26215,180304,104375,151339,14010,,msa,14010,,2014
"Bloomington, IN Metro Area",808,2246,1299,1836,9889,26537,2154,7219,69536,1421425,72397,34636,147530,83866,137936,14020,,msa,14020,,2014
"Bloomsburg-Berwick, PA Metro Area",712,1081,431,689,2093,9816,1445,3815,37608,784340,37324,11800,80612,41788,71475,14100,,msa,14100,,2014
"Bluefield, WV-VA Micro Area",579,571,631,1014,2796,11804,1803,6802,50698,880495,38186,21619,103753,43240,87175,14140,,msa,14140,,2014
"Blytheville, AR Micro Area",617,493,381,582,1764,7120,1099,3273,20461,288345,16198,11865,44484,19768,34384,14180,,msa,14180,,2014
"Bogalusa, LA Micro Area",567,259,254,469,1079,4817,1338,3582,21171,466535,14338,11615,44923,18247,36605,14220,,msa,14220,,2014
"Boise City, ID Metro Area",813,6273,4207,6126,17388,74186,5821,17837,250085,5662800,263376,97778,627990,314780,484177,14260,,msa,14260,,2014
"Boone, IA Micro Area",642,232,147,257,402,2581,159,1152,11771,255660,12326,2739,25635,14074,21174,14340,,msa,14340,,2014
"Boone, NC Micro Area",822,447,369,682,4321,8615,764,12337,32561,414045,21668,14947,46541,27273,45776,14380,,msa,14380,,2014
"Borger, TX Micro Area",703,104,134,142,329,1944,400,2201,10591,181120,8927,3543,21697,10090,16897,14420,,msa,14420,,2014
"Boston-Cambridge-Newton, MA-NH Metro Area",1219,63633,43054,52671,162023,679127,35565,125835,1890680,66930055,2252477,467910,4496596,2622310,3791587,14460,,msa,14460,,2014
"Boulder, CO Metro Area",1149,3485,3064,3730,14691,45519,2255,7074,128600,3171445,141810,43057,295264,174870,249506,14500,,msa,14500,,2014
"Bowling Green, KY Metro Area",666,1533,1323,1801,5603,23285,2587,7347,70168,1469560,69921,30319,154661,81588,129487,14540,,msa,14540,,2014
"Bozeman, MT Micro Area",850,1127,955,1415,3387,14508,780,5793,43288,789925,45836,12437,89430,54038,75742,14580,,msa,14580,,2014
"Bradford, PA Micro Area",613,320,269,506,1020,4608,496,3796,21136,338690,16991,6622,39828,19799,35342,14620,,msa,14620,,2014
"Brainerd, MN Micro Area",704,790,527,781,1848,9157,903,25920,65450,818990,37312,12111,90160,44481,73491,14660,,msa,14660,,2014
"Branson, MO Micro Area",689,1080,730,960,2233,10648,1050,16567,50300,736690,32403,15479,82620,39179,69330,14700,,msa,14700,,2014
"Breckenridge, CO Micro Area",1143,336,208,147,780,3378,287,19692,30078,267385,15890,4003,28369,18910,24145,14720,,msa,14720,,2014
"Bremerton-Silverdale, WA Metro Area",1043,3605,2176,3060,7136,32482,2151,10289,108282,3247260,108655,26858,245969,129266,205636,14740,,msa,14740,,2014
"Brenham, TX Micro Area",791,126,138,214,594,3134,499,3711,15628,282700,13856,4635,32270,15054,27518,14780,,msa,14780,,2014
"Brevard, NC Micro Area",647,277,67,376,559,3093,634,5550,19285,297075,12182,4398,31949,14579,28047,14820,,msa,14820,,2014
"Bridgeport-Stamford-Norwalk, CT Metro Area",1327,9000,6616,9819,28584,105171,6434,29114,362616,12081605,421248,83497,916013,504161,736025,14860,,msa,14860,,2014
"Brownwood, TX Micro Area",661,295,341,506,519,4035,586,5046,18375,257115,14741,6868,35831,15837,30032,15220,,msa,15220,,2014
"Brunswick, GA Metro Area",788,920,773,1318,3451,14734,1336,15221,58478,951535,44033,22022,111863,53930,89747,15260,,msa,15260,,2014
"Bucyrus, OH Micro Area",642,340,279,358,1204,5286,337,2457,20082,368405,17079,6869,42199,19708,34386,15340,,msa,15340,,2014
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",725,12294,8761,12251,41005,158727,9914,49686,519721,10771885,512502,160268,1105152,584236,926994,15380,,msa,15380,,2014
"Burley, ID Micro Area",562,247,307,289,515,4286,858,1262,16110,279510,17315,6451,42783,19704,31409,15420,,msa,15420,,2014
"Burlington, IA-IL Micro Area",625,410,159,335,1178,5239,520,2317,22314,353360,20717,6906,46570,23500,37900,15460,,msa,15460,,2014
"Burlington, NC Metro Area",743,1656,1022,1909,5069,20740,2034,6441,67487,1561395,65872,28098,149641,77058,122224,15500,,msa,15500,,2014
"Burlington-South Burlington, VT Metro Area",1027,2521,2031,2045,7579,27400,1444,8557,93375,2362355,106946,22165,203908,124459,175862,15540,,msa,15540,,2014
"Butte-Silver Bow, MT Micro Area",595,238,179,443,1721,5497,329,1499,16774,235660,15391,6966,33532,17534,28145,15580,,msa,15580,,2014
"Cadillac, MI Micro Area",713,368,214,311,1062,4151,436,7201,25788,390745,18248,8482,47091,21930,37635,15620,,msa,15620,,2014
"Calhoun, GA Micro Area",671,718,474,536,1257,6450,565,2921,22241,499505,22554,11159,54720,25712,42696,15660,,msa,15660,,2014
"California-Lexington Park, MD Metro Area",1259,604,511,958,1909,10412,762,4383,42330,1522490,52980,7193,105691,58258,84099,15680,,msa,15680,,2014
"Cambridge, MD Micro Area",842,399,311,403,1207,4583,397,3233,16652,365570,14447,5417,32126,17135,26529,15700,,msa,15700,,2014
"Cambridge, OH Micro Area",591,458,309,343,727,4035,549,3563,19127,363750,15372,7332,39224,18565,31721,15740,,msa,15740,,2014
"Camden, AR Micro Area",575,164,210,316,869,3752,762,3429,15993,278730,12036,6350,30207,13900,24682,15780,,msa,15780,,2014
"Campbellsville, KY Micro Area",565,166,237,421,585,2942,345,1433,10924,188750,9564,5489,23943,11686,20227,15820,,msa,15820,,2014
"Canon City, CO Micro Area",697,391,281,361,1075,4656,527,2599,19199,310635,13346,6274,35710,15637,39846,15860,,msa,15860,,2014
"Canton, IL Micro Area",613,301,92,343,778,3565,413,1677,16178,398950,14551,5103,34268,16679,29933,15900,,msa,15900,,2014
"Canton-Massillon, OH Metro Area",676,4258,2646,4072,10481,48197,3232,18236,178914,3867375,175514,59425,394114,203321,324838,15940,,msa,15940,,2014
"Cape Coral-Fort Myers, FL Metro Area",939,6939,4879,7907,18688,75574,5164,126708,372769,6387560,234997,102306,637614,288335,538061,15980,,msa,15980,,2014
"Cape Girardeau, MO-IL Metro Area",661,902,582,849,3038,12344,1307,5306,42594,877250,42692,18211,93358,48340,78093,16020,,msa,16020,,2014
"Carbondale-Marion, IL Metro Area",651,1493,1088,1403,5422,18494,2207,9007,59236,1035930,52148,27783,120238,60235,104504,16060,,msa,16060,,2014
