NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Homosassa Springs, FL Metro Area",780,840,644,821,3476,11238,1432,17205,77875,1031230,40599,23770,137082,50980,121340,26140,,msa,26140,,2014
"Hickory-Lenoir-Morganton, NC Metro Area",644,2939,2496,3270,8104,39219,5882,24289,162385,3341000,148224,64042,356358,176200,292856,25860,,msa,25860,,2014
"Hobbs, NM Micro Area",760,567,286,224,913,6281,891,3662,24993,495645,27058,10600,64646,30100,48796,26020,,msa,26020,,2014
"Holland, MI Micro Area",754,471,393,827,1447,7634,738,7774,49541,1136880,47407,15220,110980,54617,87238,26090,,msa,26090,,2014
"Hood River, OR Micro Area",867,281,187,226,459,2957,489,1139,9390,164750,10069,3493,22303,11847,17442,26220,,msa,26220,,2014
"Hot Springs, AR Metro Area",709,991,774,926,3285,12854,1419,10676,50552,782510,36358,20875,94660,43219,78887,26300,,msa,26300,,2014
"Houghton, MI Micro Area",621,322,243,340,1344,4423,449,6137,21099,226310,15112,8052,36747,17828,31900,26340,,msa,26340,,2014
"Houma-Thibodaux, LA Metro Area",795,1297,1174,1434,3498,19283,3234,8374,83338,2200420,87785,33830,205008,98703,163141,26380,,msa,26380,,2014
"Houston-The Woodlands-Sugar Land, TX Metro Area",910,68003,53002,70906,180845,817172,49378,249993,2362440,78923875,2766500,995367,6122011,3158210,4687175,26420,,msa,26420,,2014
"Hudson, NY Micro Area",870,572,457,620,1301,7028,879,7664,32759,710985,26963,6258,60356,32355,52181,26460,,msa,26460,,2014
"Huntingdon, PA Micro Area",558,376,181,217,727,4098,712,5171,22402,494900,17648,5601,40785,20256,38166,26500,,msa,26500,,2014
"Huntington, IN Micro Area",667,424,139,143,722,3408,282,1425,15838,339515,16727,4122,35392,19440,29543,26540,,msa,26540,,2014
"Huntington-Ashland, WV-KY-OH Metro Area",636,2924,1847,2565,9797,40562,7493,20534,164477,3258920,138072,66821,355831,157041,294837,26580,,msa,26580,,2014
"Huntsville, AL Metro Area",733,3747,2708,3773,11021,49690,4574,18388,185953,4165345,191286,56579,418334,220979,342660,26620,,msa,26620,,2014
"Huntsville, TX Micro Area",767,416,517,832,2897,9761,1612,7575,33334,653080,25727,14485,62390,28923,71083,26660,,msa,26660,,2014
"Huron, SD Micro Area",548,229,89,243,424,2589,239,879,8339,116910,8727,3573,17531,9477,13902,26700,,msa,26700,,2014
"Hutchinson, KS Micro Area",666,519,557,484,1477,8043,561,2964,28299,500415,27850,7732,61188,31570,50883,26740,,msa,26740,,2014
"Hutchinson, MN Micro Area",696,356,134,182,730,3516,285,1003,15730,394940,17771,2786,35599,19672,28317,26780,,msa,26780,,2014
"Idaho Falls, ID Metro Area",701,1058,733,997,2232,11256,798,4773,50378,1113310,55891,17285,134729,62985,97064,26820,,msa,26820,,2014
"Indiana, PA Micro Area",678,664,394,570,2886,9845,1289,3954,38352,818790,36523,14223,82870,42819,73865,26860,,msa,26860,,2014
"Indianapolis-Carmel-Anderson, IN Metro Area",800,21256,16217,21813,60653,250881,17182,91133,826067,21379605,867254,276528,1887732,1005279,1491093,26900,,msa,26900,,2014
"Indianola, MS Micro Area",534,302,67,307,870,3505,564,1241,9692,150575,8115,8597,24045,10634,22215,26940,,msa,26940,,2014
"Ionia, MI Micro Area",679,391,531,280,1232,4773,511,2517,24657,661935,24527,9170,59536,29317,49958,26960,,msa,26960,,2014
"Iowa City, IA Metro Area",845,1563,1371,1954,7894,24550,1479,2884,66790,1537065,82138,24553,150129,91273,129341,26980,,msa,26980,,2014
"Iron Mountain, MI-WI Micro Area",643,186,99,175,400,2277,338,5648,18755,206150,12608,3891,30044,14487,25081,27020,,msa,27020,,2014
"Ithaca, NY Metro Area",965,1354,855,1168,5448,16839,1503,3482,41822,852550,45060,18438,89566,52419,89078,27060,,msa,27060,,2014
"Jackson, MI Metro Area",731,1517,1137,1120,4722,16569,1433,8747,69232,1439940,61914,26291,150584,73883,128260,27100,,msa,27100,,2014
