NAME,B25064_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,B25070_011E,B25002_003E,B25002_001E,B08013_001E,B08012_001E,B17001_002E,B17001_001E,B23025_002E,B23025_001E,metropolitan statistical area/micropolitan statistical area,metropolitan division,geo_level,geo_code,parent_cbsa,year
"Freeport, IL Micro Area",651,626,605,353,889,5938,501,2226,21965,432110,19523,6000,44246,22554,36461,23300,,msa,23300,,2019
"Fremont, NE Micro Area",760,416,330,526,863,5780,386,1517,16778,338120,17628,4452,35542,19310,28803,23340,,msa,23340,,2019
"Fremont, OH Micro Area",701,505,396,275,1160,6430,460,2744,26318,534245,27099,6706,57698,29728,47268,23380,,msa,23380,,2019
"Fresno, CA Metro Area",998,12197,9011,14165,40855,143782,8932,23236,331142,8716890,377688,218254,968001,447145,732804,23420,,msa,23420,,2019
"Gadsden, AL Metro Area",669,529,645,1067,1833,10675,1458,8762,47704,966940,40256,17625,101346,45161,83242,23460,,msa,23460,,2019
"Gaffney, SC Micro Area",712,536,492,536,1068,6429,1448,3869,24568,519105,22411,10837,55986,24594,45362,23500,,msa,23500,,2019
"Gainesville, FL Metro Area",957,3045,3248,4184,14665,48835,5546,24733,145566,3250775,137715,64698,307512,156523,270907,23540,,msa,23540,,2019
"Gainesville, GA Metro Area",963,1462,1516,1489,3979,19655,1297,8783,73135,2405650,88006,27432,196852,97072,153831,23580,,msa,23580,,2019
"Gainesville, TX Micro Area",887,424,292,364,585,4709,752,1577,16928,447425,17890,5024,39109,20211,31590,23620,,msa,23620,,2019
"Galesburg, IL Micro Area",634,563,495,464,1652,6883,723,3237,23917,371300,20232,8413,46294,22273,41667,23660,,msa,23660,,2019
"Gallup, NM Micro Area",672,327,117,213,996,6090,1280,5370,26312,470080,21103,24982,71737,27598,53804,23700,,msa,23700,,2019
"Garden City, KS Micro Area",802,367,235,307,662,4748,376,1409,15129,272110,19239,5208,39934,21104,29517,23780,,msa,23780,,2019
"Gardnerville Ranchos, NV Micro Area",1102,443,361,517,966,5930,344,3658,24399,462470,19142,4170,47836,22401,40985,23820,,msa,23820,,2019
"Georgetown, SC Micro Area",901,295,298,599,1048,5399,802,9847,35345,591800,22938,10968,61344,27076,51961,23860,,msa,23860,,2019
"Gettysburg, PA Metro Area",922,771,577,635,1487,8653,1023,2947,42292,1354655,47825,7622,98301,52918,84043,23900,,msa,23900,,2019
"Gillette, WY Micro Area",906,478,265,370,869,5697,581,4098,27482,630180,28527,7319,60757,32410,46960,23940,,msa,23940,,2019
"Glasgow, KY Micro Area",659,321,395,516,1623,6523,623,3413,24418,454035,21029,12672,52736,24046,42720,23980,,msa,23980,,2019
"Glens Falls, NY Metro Area",895,1375,1063,1201,3101,14427,983,17410,69439,1407085,57179,12575,121539,64033,105523,24020,,msa,24020,,2019
"Glenwood Springs, CO Micro Area",1246,1077,500,785,1757,9740,711,9052,38017,1125105,39024,6209,75961,45368,61130,24060,,msa,24060,,2019
"Gloversville, NY Micro Area",779,589,349,697,1341,6615,844,6555,29112,582100,23576,7814,52435,25982,43949,24100,,msa,24100,,2019
